,Movie_Session,Movie_Tittle,Type,Comment_Content,Link
22,32,低俗喜劇Vulgaria,Best Film,"A top-notch Hong Kong comedy at its best, Pang Ho-Cheung's VULGARIA is a hilarious satire that pokes fun on the Hong Kong movie industry (particularly Category III genre) and of course, low-budget filmmaking in general.

The first two scenes are particularly the funniest ones that had me laughing nonstop. It opens with a sleazy producer named To Wai-Cheung (Chapman To) who is being interviewed by his old friend Professor Cheng (Lawrence Cheng) inside an auditorium filled with film students, to discuss about the nature of producing a movie. Among the hilarious part is how To compares his job as a producer to human pubic hair (a vulgar, but inspiring metaphor nonetheless).

Next up, is another memorable part on how To recounts an unfortunate incident in which he was forced to do something unpleasant for the sake of funding a movie. Introduced by his best friend Lui (Simon Lui), both of them head over to Guangxi and meets a triad head named Tyrannosaurus (Ronald Cheng) at a favorite restaurant. Tyrannosaurus has a peculiar taste, especially the way he introduces both of them all the so-called signature weird dishes. But nothing comes weirder than Tyrannosaurus' taste of ""woman"". Not human, that is but rather a mule. In order to seal the deal of getting the fund, both To and Lui must have sex with two mules specially brought over for them. And there's more: Tyrannosaurus is specifically wanted To to remake a 1976 period erotic classic CONFESSION OF A CONCUBINE and only wants his favorite star, Siu Yam-Yam (Susan Shaw) to play the leading role all over again.

So To calls out Siu Yam-Yam to propose his idea for the CONFESSION OF A CONCUBINE remake. But since the original version has aged over 30 years ago, it's natural that the now-older Siu Yam-Yam feels unpleasant to strip anymore (you'll get the picture). Nevertheless, Siu Yam-Yam rejects his offer, but To must finds way to fulfill Tyrannosaurus' pet project no matter what.

Enter wannabe starlet nicknamed Popping Candy (Dada Chan). During a fellatio involving some popping candies, Popping Candy has unexpectedly gives To a great idea about how to make Tyrannosaurus' dream comes true. By using CGI, he will combines Siu Yam-Yam's face and Popping Candy's busty body. His idea nevertheless prompted Siu Yam-Yam herself to agree for playing the role all over again. But of course, nothing comes smooth during the filmmaking process as To also juggles with his own personal problem involving his ex-wife (Crystal Tin) and his little daughter Jacqueline (Jacqueline Chan).

Blessed with a Category III rating, writer-director Pang Ho-Cheung has certainly goes rampant with lots of colorful, yet creative Cantonese profanities. Likewise, his brand of knowing humor hits the jackpot that lampoons from almost everything he can think of -- filmmaking, sexual harassment, Hong Kong educational system, 3D SEX AND ZEN parody involving Hiro Hayama and even Al-Qaeda reference. The result is uproariously funny.

Special kudos also goes to all the gamely playful actors involved here. Chapman To's comical performance is pitch-perfect, while Dada Chan is surprisingly likable enough as the endearing Popping Candy. The rest of the supporting actors perform their respective roles pretty good. Even the cameo appearances (Lam Suet, Miriam Yeung) are just as memorable. But the true standout is none others than Ronald Cheng, who excels in a tour de force performance as the crude and primitive triad head Tyrannosaurus. Each time he appears in a scene, he's a laughing riot to watch for.

No doubt VULGARIA earns its place as one of the funniest Hong Kong comedies ever seen in a long while, but the movie is still without its glaring flaws. Pang Ho-Cheung's energetic storyline is sometimes incoherent and also lack of focus. It's also quite a shame that he doesn't make use of Category III rating to showcase sex and nudity (especially those involving Dada Chan) which might disappoint genre fans.

And by the way, stick around after the credit rolls. Midway, there's more scenes afterwards and particularly the crucial one involved whether or not To is having sex with a mule.",https://www.imdb.com/title/tt2266938/?ref_=fn_al_tt_1
23,32,大上海,Best Art Direction,"Directed by one of the best directors of Hong Kong cinema industry, Wong Jing and starred by one of his favorite actors, the charismatic Chow Yun fat, who adds a new memorable performance to her legendary career,and wrapped by a cast full of stars such as Francis Ng and the legendary Sammo Hung and new rising stars as Xiaoming Huang, who amazing portraying the younger version of Chow Yun fat, literally becoming in him, and completing the cast with the talented and beautiful Quan Yuan, Li Yuan and Monica Mok. This film has overcame all my expectations becoming into one of my favorites from it's director, I love every photo gram from it and I dare to consider it a masterpiece.

The film tells the story of the rise to the power of Cheng Daiqi in the crime world in the Sanghai from the 30's and his impossible love story with Zhiqiu, a young girl who dreams in become in a famous opera singer, something that is forbidden for her, it also tells the efforts of Daiqi to defend Sanghai from the Japanese invasion.

The film pass through many different genres from melodrama, gangster cinema, action and romance, being divided in two parts.

In the first part of the film Wong Jing, using flashbacks, tells the humble origins of the main character and the his love story, using masterly camera movements and travelings to take the audience in a travel through time, accompanied by a beautiful photography by Andrew Lau and a wonderful score that is a key factor in the most important moments of the story to excite the audience.

scenes as the one in which a young Daiqi, played by Xaoming Hua, arrives to Sanghai and stares at the biggest building to the city trying to see the end of it where the camera ascends until the last floor in which an older Daiqi, played by Yun Fat, is contemplating the whole city and the later scene in which a traveling shows a young Daiqi sitting in front of his men just after become in the right hand of the crime boss in Sanghai, played by a great Sammo Hung, the then after the traveling become in the adult version of the character played by Chow Yun Fat, is a perfect and perfect visual exercise that unifies in a masterly way the past and the present of the story and the character.

The first act of the story ends with the spectacular sequences of the invasion of Sanghai by the Japanese army that reach it's climax in a scene that is pure poetry.

The second part of the film shows Daiqi defending Sanghai from the Japanese invasion leading us to an emotional and epic ending...

One of the best moves made in Hong Kong in recent years, much better than the films that are coming out from Hollywood these days.",https://www.imdb.com/title/tt2458314/?ref_=fn_al_tt_1
24,32,十二生肖,Best Visual Effects,"Went in with a load of expectations as it was jackie's full fledged action movie after a long time ........ and sequel of a highly entertaining ""Armour of God"" added more zeal to the expectations ... movie starts off with a superb stunt with jackie trademark of riskiness written all over ... then movie movie moves off superfast with stunts, comedy and entertainment all through the way ... 2 and half hours runs without brakes ..... jackie is wonderful throughout the film ... though the movie misses jackieism of 80's and 90's a little bit , still the magic works .........

verdict: Jackie's show throughout - highly entertaining ... action fans don't miss it ;)",https://www.imdb.com/title/tt1424310/?ref_=fn_al_tt_1
25,31,桃姐,Best Film,"I saw this film during the film festival in Norway; it's been a long, long time since I watched a movie which captivated me even after the credit started to roll.

It's a movie which primarily focus on every little moment of an elderly woman, but it is never a dull moment as the first impression might seem. It's a movie which really drives you to care for the characters in a natural way as opposed to many films where they ""force"" you with ""natural"" gimmicks. No, this movie broke most typical western styles, but at the same time made it entertaining and thrilling.

It's a movie where there're no explosions, no foresight drama or no extreme twists... it's truly, a simple life, which showed me how simple it can be to be humble, and care for those we love.",https://www.imdb.com/review/rw2583999/?ref_=tt_urv
26,31,武俠,Best Art Direction,"Awesome choreographed fight scenes, rich & deep characters and a great cast to boot, this is a must watch for any fan of the martial arts genre. Donnie Yen has yet another spectacular performance from the acting to the action. But I must say, Takeshi Kaneshiro does some show stealing of his own in his role as the sagacious detective. Suffice to say, both actors delivered riveting performances that kept me glued to my seat. What else can I say about this movie? Just watch it already. It's an entertaining take one man's desire to leave his violent past behind, and start anew. If you want drama, build up and great action then this is the ticket.",https://www.imdb.com/review/rw2504362/?ref_=tt_urv
27,31,白蛇傳說,Best Visual Effects,"The Sorcerer and The White Snake is visually stunning as well as breathtakingly inspiring. This movie is more than CGI, computer rendering, or even cinematic location. It's about love. The power that love wields between two people who are in love and the control, twist, and even anguish that love sometimes will exert over us. Yes, the fight scenes were well filmed. Additionally the colors exploded violently from frame to frame, it was exceptional. I would be inconsistent if I however did not point out that if this film had a major Hollywood studio budget. Some of the CGI scenes would have looked slightly less choppy, and perhaps more money, would have helped to further polish an already outstanding movie. The Sorcerer and The White Snake is a rare gem, it is a love story told through art. I found the water sections in the opening of the movie simply stunning. Art and love translated through film, simply exceptional.

I hope you will take my advice and grab a copy of this as soon as you are done reading my review. I promise you, this movie will not disappoint in any way shape or form.",https://www.imdb.com/review/rw2535959/?ref_=tt_urv
28,30,打擂台Gallants,Best Film,"Produced under Andy Lau's Focus Films with actor Lau Kar Tung on board as producer, directors Clement Cheng and Derek Kwok have a winner on their hands, as they exalt the spirit of what it means to never give up when the odds are stacked against you, and in some way live up that spirit of theirs when they had embarked to make this project which had clear risks. It will be extremely foolish to dismiss the film outright just because it has more elderly actors than youthful ones to draw the crowd, because as the adage goes, the oldest ginger is still the best, and this film is a testament to that. Look closely and you'll see the sheer amount of veteran, legendary talent even, assembled who hail from the Shaw Brothers kung fu film era, with even the opening credits with the silhouette fights, and the way characters are introduced, paying certain homage to an era bygone.

In essence, this purely Hong Kong film is an allegory of sorts to its peers in the market, where packaging and marketing are seen to be the be-all-and-end-all, rather than to rely on hard work to hone talent, or to compensate for the lack thereof. It tells of a people's indomitable spirit of not backing down, and to keep one's chin up in the face of tremendous competition, to work at what they are good at, and all will likely and hopefully be well.

As the story goes, we follow the adventures of Cheung (Wong You Nam), a lifelong loser who gets bullied from the get go in his life, and gets sent by his real estate company to a remote town to assist in acquiring leases from the townsfolk so that redevelopment works can start. Naturally he gets bullied, and gets rescued by the mysterious Tiger (Leung Siu-Lung), a disciple of the once great Master Ben Law (Teddy Robin) of the Gate of Law martial arts school, who has been in coma for the last 30 years. And it seems, like in Stephen Chow's Kung Fu, this small town hides a lot more martial arts exponents, such as Law's other disciple Dragon (Chen Kuan-Tai), who together with Tiger had tried their best to keep their Master's place alive by converting it to a Teahouse, while awaiting Ben's recovery.

Then there's Kwai (JJ Jia), the pretty lass who also hangs out at the Law's teahouse. Their collective backstory is something that got delivered through a fantastic animated sequence, and animation is something that gets peppered throughout the film as well when it gets down to fight sequences when deadly bone crunching blows get delivered. Since the film has in its plot the advent of the Hong Kong Martial Arts Open to seemingly promote the spirit of martial arts, as announced by rival and owner of a flashier sports club Master Pong (Chan Mai Wan), one will expect some spectacular kung fu action. The film more than delivers in this aspect, with the action choreographed by the renowned Yuen Tak, who cleverly did away with fancy wire-work, offering instead sparring sessions which are realistic and extremely riveting to watch, as the actors (most of whom have so many years of experience) put together some credible and exciting martial arts moves for the screen. Editing is also wonderfully done so that we get the best views at the front seats of a bout without the usual MTV-styled quick editing nonsense. I guarantee no matter how many martial arts films that you've seen, the ones here as choreographed will still blow your mind away.

Like a Crouching Tiger and Hidden Dragon itself, if you do not buy the first act, then wait for Teddy Robin, who single-handedly stole the show right out from everyone's noses. His comic timing is perfect, and the lines that he has, sheer wit, coupled with the fact that his character's disorientation after being out of action for so many years, is something that offers rip-roaring laughter. The directors, who co-wrote the story with Frankie Tam, breathe so much life into Master Law, that you can't help but on one hand be amazed by his crazy philosophy, and on the other just laugh at it, such as his proclaimed laws of combat in the order of Guts, Power and Skill, the rationale in his disciple recruitment strategy, and chiefly, that the reason to learn Kung Fu is to fight, not exercise – which has other, better alternatives. Robin, who also contributed to the movie's music, fills his character with so much youthful energy and exuberance, makes this one of his more memorable roles that he has tackled, and left everyone in the cinema crackling with glee each time he turns on his wit.

As the film explains early on, the boxing ring is a symbol of dignity and fame, and there can be only one victor and one loser. Clearly, Gallants is a winner in my books, and delivers knockout blow after knockout blow without relent. I had come with a mission to watch Hong Kong films, and this one clearly made my trip worthwhile many times over, coupled with so many hilarious moments to laugh along with. I hope it makes it to Singapore so that I can watch this on the big screen again, otherwise I'll patiently wait for its DVD release after it's done its theatrical and festival rounds. Highly recommended, without a doubt one of the best amongst the festival offerings if I may say so!",https://www.imdb.com/review/rw2227214/?ref_=tt_urv
29,30,孔子 決戰春秋,Best Art Direction,"There has been some commotion around this movie concerning whether it did or did not force Avatar from the 2D screens in China. So many IMDb-voters thought it necessary to vote a '1' for this movie without even seeing it.

It's a shame because it is a really good movie. I wasn't sure myself if a story around Confucius would be able to entertain me for 2 hours but it surely did! It's a fascinating and emotional story about the later years of Confucius, played by Hong Kong-actor Chow Yun Fat. It's shows the man behind the myth.

I was very impressed with Chow's acting. I knew he was a great actor but this role is another milestone in his career. His Confucius is warm and gentle and you really feel his emotions. For his performance alone this film is worth watching.

Beware: it might not be for the usual popcorn crowd, wanting to be entertained with lots of action and superficial story lines. It's an inspirational journey! Go see it!",https://www.imdb.com/review/rw2202913/?ref_=tt_urv
30,30,狄仁傑之通天帝國,Best Visual Effects,"It had been a while since I had seen a Tsui Hark movie. I now feel remiss in not better keeping up with his career.

Detective Dee is fantastic! The visuals are stunning. The sweeping, epic scenery and the HUGE set pieces transported me fully into the era of the Tang Dynasty. I was impressed by the CGI, often having trouble distinguishing where the real, physical parts of the set ended and the computer generated world began. The cinematography is superb.

The story was complex but still digestible. The filmmakers threw up enough red herrings to keep me guessing while making it believable that Detective Dee could solve the case without huge leaps in logic.

I found Andy Lau's performance effective, but was particularly impressed by Carina Lau who played Empress Wu. Her performance was both subtle and powerful. She was mesmerizing anytime she was on screen.

As for the fight scenes, well... wow. I mean, really, WOW! The complexity of the final fight between Dee and the person he figures out committed the crime made fight scenes in the Bourne series look like child's play. Seriously. Now, there was wire work - I know some people really dislike that stuff in Kung Fu style movies, but it really worked in this setting. I hope people will give this one a chance. I really thought Detective Dee was fantastic!",https://www.imdb.com/review/rw2488181/?ref_=tt_urv
31,29,十月圍城,Best Film,"Just had the pleasure of watching this, I had heard good things about it and when it popped up on a torrent site I leaped at the chance. Please note, I don't support piracy and downloading, but since this is not available stateside yet my options are limited. Needless to say, this one is a buy for sure on DVD, hopefully there will be a blu ray release with good subtitles at some point. This is a star studded period action film about the assassination attempt of Dr Sun Yat Sen in Hong Kong. The first hour of this movie is entirely about setting up the characters, making you understand them and care about them. In fact there is only one action scene in the first hour, which existed to drive the plot and define the motivation of the woman who would become one of the bodyguards. Don't worry, the kung fu awesomeness will begin, the entire second half of the movie is one very well done action sequence after another. But the set up really matters here, it is very engaging and later on when all these characters come together to protect Dr Sen, you care about each one and when some die, you feel it. The acting is excellent all around, many of the actors are major stars, such as Donnie Yen, Nicholas Tse, Leon Lai, and Tony Leung Ka Fai, but the film is an ensemble piece and each star disappears into their character, many of whom are playing against type. The action is top notch, as expected with Donnie Yen's involvement. Yen has a brutal fight with Cung Le that involves some very nice choreography and some parkour action as well. All of these scenes are enhanced by the fact that you care quite a bit if this character lives or dies. My only complaint would be the villain, played by Red Cliff's Jun Hu. I felt his character was a little over the top, I would have liked him to have been more in control. But it is a minor quibble in a film with a great many strengths. I highly recommend this one, check it out.",https://www.imdb.com/review/rw2197384/?ref_=tt_urv
32,29,十月圍城,Best Art Direction,"First of all, I'm not familiar with Chinese history, so I wouldn't say anything about its historical bases. Still, this movie worth the time with no doubt. No matter where you live.

Powerful, logical and heartbreaking. I say powerful because we got a well painted picture about the main characters in the first half. Yes, the movie does not only focus on the high profile action scenes and blood. That's one of its strengths. The audience - this time it's me - had enough time to acquaint the persons and like them. For this reason losing some of them is a heartbreaking effect in the second half. I think it's not a spoiler. Anyone can guess it who has seen the trailer. The acting is OK (some actors were great, especially Xueqi Wang) but my opinion is that the script and the director have done this movie for that it is. I really enjoyed that the movie has avoid to use mindless clichés, like ultimate fight of good vs. evil. The main bad character had also deep conviction that he has been doing the right thing for his country/highness. As it is so, for me, he was authentic in his role.

Now there's only one word has to be explained - logical. Unfortunately I can't do it without revealing some moments from the story, so I leave it to you. Find it out yourself. If you like heroic tales, you should love it.

I hope this movie will be released on DVD in my country, too.",https://www.imdb.com/review/rw2211227/?ref_=tt_urv
33,29,十月圍城,Best Visual Effects,"This is NOT Hollywood type Kick-Ass. This is NOT an Arty House of Daggeers.

This is a historical drama with some neat kung-fu thrown in. Beautiful to look at. From the elegance of the costumes to the dirty streets in the ghetto.

Bodyguards and Assassins has charm, tragedy, drama, loyalty, respect, ignorance and more going for it. Slightly long but thoroughly enjoyable.

I was unaware of this part of Chinas history (boy do the English come off bad yet again) and I'm glad I watched it.",https://www.imdb.com/review/rw2350182/?ref_=tt_urv
34,28,天水圍的日與夜,Best Film,"What do movies tell us about what kind of people we are? Imagine the following: you are an alien from outer space, who is about to get into the space ship to visit planet Earth. Before you leave, you are instructed to learn as much as possible about the people and their culture who live on this planet. Your homework: to watch all the movies produced in the last year.

Think about what kind of image you would get from looking at what kind of movies we produce and watch as people. There is an abundance of Hollywood movies. You might think we are all American. Or that we imagine to be super heroes. So much special effects. How would our lives look like if they were like Hollywood movies? But of course, our lives are most of the time nothing like Hollywood movies.

Showing a movie that just portrays how we are would be boring. Would it not? Ann Hui doesn't think so. She provocatively titled her latest movie The Way We Are. Ann Hui is perhaps the most gifted story teller in Hong Kong, at least when it comes to film making. The same way Ozu chronicled the lives of Japanese society, Hou Hsiao-hsien and Edward Yang documented the day-and-nights of Taiwanese people growing up, Ann Hui is the cultural biographer of Hong Kong.

When it comes to Hong Kong movies, most people might think of kung-fu stars, like Bruce Lee or Jackie Chan or Jet Li, or perhaps triad movies, made famous by John Woo, and more recently Johnnie To. Some might even think of Wong Kar Wai. But the films of Ann Hui are those who directly go to the core of what Hong Kong is about - but this core is as most of our lives perhaps unspectacular, mundane, and banal.

Ann Hui nevertheless manages to weave an incredibly rich story detailing the mundane lives of people in a part of Hong Kong that is often sensationalized: Tin Shui Wai. It's a part of town that is considered desolate, characterized by social problems, unemployment, with high buildings (some might think of them as Hong Kong's version of ""the projects"").

What is worth telling here is a story from a part of society that you otherwise would never see or hear. But that they don't exist in our popular imagination doesn't mean they exist, and it doesn't mean that we shouldn't know about. Most movies have spoiled the way we ""consume"" them: often slick, highly visualized, with something to grab our attention every three seconds (if not less). This movie by Ann Hui needs to be slowly taken in, with patience.

That is to say, our starting assumption should be that there are really no boring people. That every person has a story to tell, and that when they try to tell you their story, the least you could do is listen to them, with the patience and respect every human being deserves. Because, that's the way we are. Ann Hui, thank you for reminding us of this important lesson.",https://www.imdb.com/review/rw1992978/?ref_=tt_urv
35,28,三國之見龍卸甲,Best Art Direction,"Three kingdoms is a great Chinese masterpiece that is set in the era of the three kingdoms that ruled china. The cao, wu and liu dynasties were trying to unite china each under their own leadership and in a result it produces wars between the three houses for decades. The story in this movie is told from the Liu's point of view and my god what a story that is.

I don't know really why people are not giving this high ratings, it should be on the IMDb top 100. I guess most people that watch Chinese movies are in it because of the martial arts and people flying prospective. If you are looking for something like that then go watch house of the flying daggers or The Forbidden Kingdom because this movie is not about massive FX's and stunts. It simply tells a story with some battles shoved in. The movie is quite emotional and the acting was superb. As for the directing it truly is brilliant, the battles were directed with passion and ingeniousness with great sound effects and slowmo shots that makes it even more desirable to watch over and over again.

This is one movie that shouldn't be missed by Chinese history/mythology fans. Its a 10/10 and I don't care what other people might think, its just a masterpiece.",https://www.imdb.com/review/rw1877780/?ref_=tt_urv
36,28,赤壁,Best Visual Effects,"The Battle of Red Cliffs holds a special place in Chinese history and mythology. It was a decisive conflict which occurred at the end of the Han Dynasty, immediately prior to the period of the Three Kingdoms, and it was fought in the winter of 208/209 between the allied forces of the southern warlords Liu Bei and Sun Quan and the numerically superior forces of the northern warlord Cao Cao.

The 2008 film, titled simply ""Red Cliff"", was deliberately timed for release in China in the lead up to the 2008 Summer Olympics and was a great success with Chinese audiences. One year later, the movie has a limited release in the West where the selling point is not so much the history (which is largely unknown outside China) as the director (Hong Kong's John Woo who is known for such Hollywood work as ""Broken Arrow"", ""Face/Off"" and ""Mission: Impossible 2"").

It has to be said that the Mandarin dialogue is leaden and much of the acting somewhat exaggerated, but a huge cast and considerable special effects - allied with the director's trademark style - makes the movie visually stunning with clever tactical manoeuvres, multiple battle scenes and considerable blood.

If it all seems a little confused to Western audiences, this is probably because we are seeing it in a rather different version to the original. In Asia, ""Red Cliff"" was released in two parts, totalling over four hours in length, whereas outside of Asia, the release is a single film of 'only' two and a half hours. For me, it's not up there with ""Hero"" or ""House of Flying Daggers"" but it is well-worth seeing and a pictorial treat.",https://www.imdb.com/review/rw2083137/?ref_=tt_urv
37,27,投名狀 The Warlords,Best Film,"Last night I had the opportunity to view one of the best films i've seen in a very long time. One that stays with you far after the closing credits. One that requires time after viewing to untie all the knots in your stomach.

Peter Chan's ""The Warlords"" is a period epic in every sense of the word. Chan covers a lot of ground here depicting war and the consequences thereof consisting of his anti-war sentiments. It tells the story of three ""brothers"" played brilliantly by Jet Li (Fearless), Andy Lau (Infernal Affairs) and Takeshi Kaneshiro (House Of Flying Daggers) who make a pact of brotherhood to one another that consists of killing anyone who harms one of the brothers and killing any brother who harms another brother as they lead an army through war after war taking over city after city.

It's incredible to watch the thought process of making vital decisions during a battle or within their own army to defy humanity for the ""greater good"". It shows the internal and external struggle of these decisions by opposing points of view. The emotions felt by these men translate in any language and leave you emotionally drained after watching the film through to its tragic end.

The cinematography is outstanding, the budget is huge, the directing brilliant and the war scenes brutal as can be. We're talking decapitations, gushing blood, limbs sliced off and a man being blown up by a cannonball. Chan is delivering a truth in the brutality of war rather than dressing it up to keep (most of it) realistic.

War is hell.... and this film will take you there and back. Highest recommendation.",https://www.imdb.com/review/rw1832972/?ref_=tt_urv
38,27,Anuson Pinyopotjanee （ C+偵探 ）,Best Art Direction,"Aaron Kwok is the reason to see this movie. He is the detective on the case. Soon it becomes clear that he isn't like any other private eyes in the movies. His motives for becoming one are personal. (I am not going to reveal what that fact is because it is important to the plot.) When he is hired by this man to find a woman who he claims is stalking him, things start to happen. He realizes that this is a serious case and really is on to something. Kwok does get some help from a friend in the police department (Kai Chi Liu). The interaction between him and Aaron provide most of the funny scenes. Still it is a one man show where it is fun to see Kwok investigating. Some elements of the mystery that has to be solved are pretty obvious. But I think that this is done on purpose since the focus is not the mystery it self but Kwok solving it and becoming a true private eye. The conclusion therefore is pretty decent and satisfying. There is a set up for a possible sequel. Well,if the Pang Brothers continue in this manner than they have my blessing!",https://www.imdb.com/review/rw1784378/?ref_=tt_urv
39,27, （C+偵探 ） ( The Detective ),Best Visual Effects,"When the Pang bros unleashed Gin Gwai (The Eye) onto the world, it seemed like they'd launched themselves. All that rests now is a mediocre Hollywood career and a lot of disgruntled fans. Unrightfully so, because in their homeland the Pang bros keep on making first-class films, beating even their first outings. Oxide Pang is undoubtedly the better of the two and I'm always eagerly awaiting his solo projects. The Detective (C+ Jing Taam) is his latest effort, and again it doesn't let down.

It's a shame that The Pangs are getting such a bad reputation, because they are great talents in a rather stale industry. The problem with both brothers is that their films are often built around atmosphere, with lots of attention to the visual aspect of the film. When watching a Pang film, you can be sure to expect beautifully lit visuals and snappy editing. This puts a strain on the story of their films, urging people to complain. Sad but true.

The Pangs are known for their visually accomplished films, but it's really Oxide Pang who's responsible for this. The Detective is a visual treat from the first second till the final frame. Each shot is considered well, use of color and lighting is impeccable and some very nifty editing tricks are applied. One scene in particular stands out, where quick zooms and multiple angle changes make for quite a novel effect. Hope to see this used more in films.

One thing where both brothers often fail is their choice of music. Luckily they seem to be turning this around in their latest films. That said, the lengthy opening of The Detective did scare me a bit. I dunno what kind of local music Oxide used, but it sure made for a very wacky effect. Not in a bad way mind, but I'm glad he didn't keep it up for the remainder of the film. There's one particular scene where the mood of the film switches and from there on the sound design is strong and brooding, enhancing the atmosphere as a soundtrack should.

The basic premise of The Detective is pretty simple and oddly lacking any supernatural motive, which makes for a nice change. Aaron Kwok plays a wet behind the ears detective stumbling on a case that's hiding its true face. His connections with the police force help him with his work but when he starts running into bodies he is advised to stop meddling with the case.

From there on, the plot thickens and Kwok is thrown into a nicely tailored tale of deceit and paranoia. Aaron Kwok is confident enough to throw a nice one-man show, the supporting actors are decent but never do much besides fulfilling their role in the story. The story of the film is pretty straight-forward for a Pang film, with pieces of the puzzle slowly emerging at regular intervals. All lose ends are neatly tied together at the end, so my guess is this film should fare well with the earlier Pang adepts.

Oxide Pang succeeds again in making a visual masterpiece, although less experimental and in your face as his other films. This time around, the story is more focused and the choice of music is a whole lot better. Aaron Kwok is a good lead and the whole films flies by in no time. It's a shame that the Pang bros seem to have lost their audiences, as they keep on making interesting, if not superb films. 4.0*/5.0*",https://www.imdb.com/review/rw1962847/?ref_=tt_urv
40,26,父子 After This Our Exile,Best Film,"The above title explains it all: when vengeance binds a father and a son. That was a Chinese idiom to describe the the fate that binds a father and son together. And this best describes the movie, After This Our Exile.

After migrated to Malaysia, Hong Kong director/scriptwriter Patrick Tam decided to tell a tale of gambling-addicted father (Aaron Kwok, which earns him a Golden Horse Award from Taiwan for Best Actor) and a son (the 9 year old newcomer Gouw Ian Iskandar) who was torn between his father and his mother (Charlie Yeung).

Set in Ipoh, Perak, the story begins with the boy sensing something is amiss when his mother was exceptionally nice to him in a morning before school. He found out that she was preparing to leave the home. He informs his father, and the couple had a quarrel in their neighborhood. She fails to run away.

When the mother told the father that she is leaving him due to his bad temper and gambling addiction, he decided to change. He brought the whole family for a cruise, and yet he goes gambling in the cruise. She left the family this time round, leaving the son and the father to face the problem.

Facing with harassment from the loan sharks and tonnes of unpaid bills, the father seek another alternative to get the money by go gambling in Genting Highlands. (Note: Genting Highlands is a tour/leisure resort in Pahang, Malaysia, where it consist of theme parks, shopping malls and casinos. Popular among Malaysians and Singaporeans.) He lost the money, leaving them with larger debts. To get the money, the father gets the son to steal valuables from their neighbors.

After This Our Exile is a simple yet sad tale about the struggles between a father and the son. The father was struggling from the loss of his wife, constant debts and his gambling addiction. The son was struggling with the life without his mother, which ends up being ripped off from the privilege of continuing his elementary education. This, somehow, truly reflects on what is happening in our society today.

Kwok takes a new exploration on the role of the father, who was short tempered, selfish, and more often, cried over spilled milk. Compared to his previous roles in other features, Kwok has given his fans and audience a new look on his skills for the past decade. Yeung's role as the mother can be added more, for there are rooms in theatrical version, which can explores more on the pains she has been through.

The 9 year old Iskandar was something new for the film. Without any acting backgrounds, he amazes the audience with his fine and innocent acting skills.

While the director's cut gives the audience a fuller view on the story, the theatrical version seems disappointing, for it left the audience with too much space to guess. This has somehow unable to brought up the 'vengence' that binds the father and son together, leaving a bittersweet aftertaste.

After This Our Exile sounds common to some, but it left the audience to re-examine the strained relationship between a father and the son.",https://www.imdb.com/review/rw1540650/?ref_=tt_urv
